Name,Rank,Price,24h Change,Market Cap,Volume,Circ_Supply,Category
BTC,1.0,88066.64,-1.68,1750000000000.0,45670000000.0,19830000.0,"Cryptocurrencies, Layer 1"
ETH,2.0,2191.22,-0.93,264250000000.0,18700000000.0,120590000.0,"Smart contract platforms, Layer 1"
XRP,3.0,2.5575,2.22,148210000000.0,6580000000.0,57950000000.0,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America"
USDT,4.0,0.99989,-0.0,142700000000.0,85180000000.0,142720000000.0,"Stablecoins, Asset-backed Stablecoins"
BNB,5.0,591.9,-0.53,84330000000.0,1580000000.0,142480000.0,"Smart contract platforms, Centralized-exchange, Layer 1"
SOL,6.0,142.88,-1.33,72600000000.0,4160000000.0,508120000.0,"Smart contract platforms, Layer 1, Made in America"
USDC,7.0,1.00005,0.01,57240000000.0,9420000000.0,57230000000.0,"Stablecoins, Asset-backed Stablecoins, Made in America"
ADA,8.0,0.89215,-9.42,31430000000.0,2730000000.0,35220000000.0,"Smart contract platforms, Layer 1, Made in America"
DOGE,9.0,0.1998,-1.74,29630000000.0,1700000000.0,148320000000.0,"Memes, Cryptocurrencies, Layer 1, Made in America"
TRX,10.0,0.2395,-1.63,20610000000.0,549120000.0,86050000000.0,"Smart contract platforms, Payments, Layer 1"
PI,11.0,1.8077,-4.44,12740000000.0,604210000.0,7050000000.0,—
LINK,12.0,16.758,3.01,10690000000.0,1030000000.0,638100000.0,"Oracles, Data management & AI, Web3, Made in America"
HBAR,13.0,0.23615,-3.97,9900000000.0,430160000.0,41920000000.0,"Smart contract platforms, Enterprise solutions, DeFi, Layer 1, Made in America"
XLM,14.0,0.29583,-1.78,9090000000.0,282180000.0,30710000000.0,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America"
LEO,15.0,9.7648,0.08,9020000000.0,2780000.0,924000000.0,"Centralized-exchange, Payments"
SUI,16.0,2.7812,7.07,8820000000.0,1690000000.0,3170000000.0,"Smart contract platforms, Developments tools, Scaling, Layer 1, Made in America"
AVAX,17.0,20.953,-0.09,8680000000.0,577780000.0,414190000.0,"Smart contract platforms, Layer 1, Made in America"
SHIB,18.0,1.325e-05,0.12,7810000000.0,203510000.0,589250000000000.0,"Memes, Cryptocurrencies"
LTC,19.0,102.65,-1.11,7760000000.0,960240000.0,75560000.0,"Cryptocurrencies, Layer 1, Made in America"
BCH,20.0,390.56,0.04,7750000000.0,731640000.0,19840000.0,"Cryptocurrencies, Layer 1, Made in America"
TON,21.0,3.0113,-1.68,7460000000.0,164280000.0,2480000000.0,"Smart contract platforms, Layer 1"
OM,22.0,6.9835,-1.23,6810000000.0,155770000.0,975040000.0,"Lending & Borrowing, DeFi, DAO"
DOT,23.0,4.369,-2.15,6790000000.0,181070000.0,1560000000.0,"Smart contract platforms, Layer 1, Made in America"
BGB,24.0,4.5924,4.0,5510000000.0,251780000.0,1200000000.0,Centralized-exchange
USDE,25.0,0.99941,-0.0,5420000000.0,76240000.0,5420000000.0,"Stablecoins, Asset-backed Stablecoins"
DAI,26.0,1.0,-0.0,5370000000.0,115900000.0,5370000000.0,"Stablecoins, Asset-backed Stablecoins, DeFi"
HYPE,27.0,15.0,-12.22,5010000000.0,143870000.0,333930000.0,"Decentralized exchange, Derivatives, Layer 1"
UNI,28.0,7.1355,-3.07,4290000000.0,205630000.0,600590000.0,"Decentralized exchange, DeFi, DAO, Made in America"
XMR,29.0,224.64,-0.35,4139999999.9999995,78210000.0,18450000.0,"Privacy, Cryptocurrencies, Layer 1"
NEAR,30.0,3.0842,4.98,3670000000.0,239990000.0,1190000000.0,"Smart contract platforms, Data management & AI, Interoperability, Layer 1, Made in America"
ONDO,31.0,1.124,-0.9,3550000000.0,422040000.0,3160000000.0,Made in America
APT,32.0,5.9387,-1.57,3500000000.0,329060000.0,589820000.0,"Smart contract platforms, Layer 1, Made in America"
AAVE,33.0,211.23,-2.41,3190000000.0,521330000.00000006,15090000.0,"Lending & Borrowing, DeFi, DAO, Made in America"
ETC,34.0,19.912,-3.34,3010000000.0,182010000.0,151010000.0,"Smart contract platforms, Layer 1"
ICP,35.0,6.1322,-0.65,2950000000.0,78540000.0,481430000.0,"Smart contract platforms, Data management & AI, DeFi, Layer 1"
PEPE,36.0,6.82e-06,-3.28,2870000000.0,440610000.0,420690000000000.0,Memes
TRUMP,37.0,12.964,-1.44,2590000000.0,931190000.0,200000000.0,"Memes, Made in America"
OKB,38.0,42.479,-1.69,2550000000.0,3810000.0,60000000.0,"Centralized-exchange, Layer 1"
MNT,39.0,0.72416,-2.46,2440000000.0,63050000.0,3360000000.0,"Scaling, DeFi, DAO"
TAO,40.0,285.09,-5.84,2410000000.0,131000000.0,8450000.0,"Distributed computing & Storage, Oracles, Data management & AI, DAO, DePIN"
VET,41.0,0.027554,-4.69,2370000000.0,46310000.0,85990000000.0,"Smart contract platforms, Internet of things, Logistics, Layer 1"
CRO,42.0,0.087965,12.12,2340000000.0,194160000.0,26570000000.0,"Smart contract platforms, Centralized-exchange, Payments, Layer 1"
POL,43.0,0.24608,-2.51,2109999999.9999998,115150000.0,8590000000.0,—
FDUSD,44.0,0.99848,0.0,2100000000.0,7790000000.0,2100000000.0,Stablecoins
ALGO,45.0,0.24279,-3.11,2060000000.0,106360000.0,8470000000.000001,"Smart contract platforms, Layer 1, Made in America"
RENDER,46.0,3.7985,2.16,1970000000.0,105920000.0,517720000.0,"Distributed computing & Storage, Data management & AI, NFTs & Collectibles, Scaling, Social, media & Content, Metaverse, Web3, DePIN, Made in America"
FIL,47.0,3.0563,-1.54,1960000000.0,140710000.0,642440000.0,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
KAS,48.0,0.075058,0.29,1940000000.0,61340000.0,25820000000.0,"Cryptocurrencies, Layer 1"
GT,49.0,21.026,-0.85,1800000000.0,14010000.0,85830000.0,Centralized-exchange
ARB,50.0,0.40158,-4.47,1770000000.0,208110000.0,4420000000.0,"Scaling, Web3, DAO"
TIA,51.0,3.2302,-3.97,1780000000.0,97330000.0,551720000.0,—
ATOM,52.0,4.2669,-0.32,1670000000.0,105950000.0,390930000.0,"Smart contract platforms, Interoperability, Layer 1"
JUP,53.0,0.60683,-4.16,1630000000.0,103390000.0,2690000000.0,"Decentralized exchange, Derivatives, Interoperability, DeFi"
